1,PLAN DE MARKETING PARA PARDOS CHICKEN MEGAPLAZA
2,"GESTIÓN EN LA IMPLEMENTACION DE SOFTWARE DE LA EMPRESA UNIPERSONAL
 EL HUARIQUE DEL PEZ-2016.PERÚ"
3,"PLANEAMIENTO TRIBUTARIO Y LA DETERMINACION DEL IMPUESTO A LA RENTA EN AL EMPRESA INMOBILIARIA 
LOS FRUTALES SAC EN EL AÑO 2016"
4,PLAN DE RECURSOS HUMANO PARA LA EMPRESA HYRCO SAC
5,AUDITORIA FINANCIERA EN EL RECONOCIMIENTO DE INGRESOS POR PRESTACION DE SERVICIOS EN LA EMPRESA SCHENEIDER ELECTRIC PERU SA
6,"INCIDENCIA DE LA EVASION TRIBUTARIA DE RENTA E IGV DE LA EMPRESA SPORT CFG SAC 
CORRESPONDIENTE AL PERIODO 2015"
7,"AUDITORIA TRIBUTARIA DEL IMPUESTO GENERAL A LAS VENTAS 
EN LA EMPRESA NORMACO E.I.R.L EN LA CIUDAD DE LIMA, 2014"
8,AUDITORIA AL COSTO DE PRODUCCION EN EL DESEMPEÑO DE LA EMPRESA HELATONYS SAC
9,"TRATAMIENTO TRIBUTARIO Y SUS EFECTOS FINANCIEROS DE LAS EXPORTACIONES 
DE SERVICIOS TURISTICOS EN LA EMPRESA PERU EXPERIENCES SA"
10,"LEY 29230 - OBRAS POR IMPUESTO Y SU TRATAMIENTO TRIBUTARIO 
EN LA EMPRESA GRUPO W&S SAC"
11,"AUDITORÍA DE CUENTAS POR COBRAR Y SUS INCICENCIA EN LA OPTIMIZACIÓN 
DE LA LIQUIDEZ EN LA EMPRESA APM TERMINAL CALLAO"
12,AUDITORIA OPERATIVA EN LA GESTIÓN DE ALIMENTOS Y BEBIDAS CHARLOTTE S.A.
13,"PLAN DE MARKETING APLICADO AL PRODUCTO CREDITO ESTUDIANTIL 
DEL BANCO DE CRÉDITO DEL PERÚ S.A. PARA LIMA NORTE"
14,"PLAN DE RECURSOS HUMANOS PARA LA EMPRESA SALUBRIDAD 
SANEAMIENTO AMBIENTAL Y SERVICIOS S.A.C."
15,"IMPACTO DE OPERACIONES NO REALES EN LA TRIBUTACION Y LOS ESTADOS 
FINANCIEROS DE LA EMPRESA REPMED PERU, PERIODO 2015"
16,"PROCESO DE ELABORACION DEL ESTUDIO TECNICO DE PRECIOS DE 
TRANSFERENCIA DE LA EMPRESA GOLDMINER SAC PERIODO 2015"
17,PLAN DE MARKETING PARA PINTURA EN POLVO LIMA NORTE 2017-2021
18,"AUDITORIA DE LOS ELEMENTOS POR COBRAR COMERCIALES TERCEROS 
A LA EMPRESA TRACK DIESEL PERÚ SRL DEL AÑO 2015"
19,"LOS GASTOS NO DEDUCIBLES Y SU INCIDENCIA EN LA DETERMINACIÓN DEL IMPUESTO 
A LA RENTA EN LA EMPRESA DAT&NET DEL Perú SA EN EL AÑO 2015"
20,"LA AUDITORÍA FINANCIERA GUBERNAMENTAL A LOS SERVICIOS Y OTROS 
CONTRATADOS POR ANTICIPADO DE LA BIBLIOTECA NACIONAL DEL PERÚ"
21,PLAN DE RECURSOS HUMANOS CONSTRUCCIONES A. MAGGIOLO S.A.
22,"INCIDENCIA DEL SALDO A FAVOR DEL EXPORTADOR EN LA RENTABILIDAD Y LIQUIDEZ 
DE LA EMPRESA SODILU INDUSTRIAL SAC EN LIMA METROPOLITANA EN EL PERIODO 2015"
23,"TRATAMIENTO DEL IMPUESTO A LA RENTA EN EL ARRENDAMIENTO 
DE BIENES INMUEBLES POR PERSONAS NATURALES"
24,PLAN DE RECURSOS HUMANOS - EMPRESA EDITORA Y COMERCIALIZADORA CARTOLAN EIRL
25,"REPAROS TRIBUTARIOS Y SU INFLUENCIA EN LA DETERMINACIÓN DEL IMPUESTO A LA RENTA 
DE TERCERA CATEGORÍA DE CORPORACION ARKEMAS SAC - PERIODO 2015"
26,"LA DECISION 578 DE LA COMUNIDAD ANDINA DE NACIONES (CAN) PARA 
EVITAR LA DOBLE IMPOSICIÓN EN LAS RENTAS PASIVAS"
27,PLAN DE RECURSOS HUMANOS PARA LA ORGANIZACIÓN SODIMAC S.A. TIENDA LIMA CENTRO
28,PLAN DE RECURSOS HUMANOS DE LA EMPRESA MOLPACK DEL PERÚ S.A.
29,"PROCESOS NO AGRAVADOS CON EL IGV Y SU INFLUENCIA EN EL PAGO EN EXCESO, 
MEDIANTE EL CÁLCULO PRORRATA DEL CRÉDITO FISCAL EN ESSALUD PERIODO 1998-2007"
30,ANALISIS DE LOS ESTADOS FINANCIEROS DE GROVE PERU SAC PERIODO 2014-2015
31,VALORACION CONTINGENTE EN LAS LOMAS DE CARABAYLLO-2015
